giverName,giverEmail,receiverName,receiverEmail
Matthew King,matthew.king.jr@acme.com,Charlie Ross,charlie.ross@acme.com
Employee_Name,employee_emailid,Layla Graham,layla.graham@acme.com
Charlie Ross,charlie.ross@acme.com,Mark Lawrence,mark.lawrence@acme.com
Mark Lawrence,mark.lawrence@acme.com,Benjamin Collins,benjamin.collins@acme.com
Layla Graham,layla.graham@acme.com,Isabella Scott,isabella.scott@acme.com
Spencer Allen,spencer.allen@acme.com,Charlie Wright,charlie.wright@acme.com
Hamish Murray,hamish.murray@acme.com,Ethan Murray,ethan.murray@acme.com
Benjamin Collins,benjamin.collins@acme.com,Hamish Murray,hamish.murray@acme.com
Ethan Murray,ethan.murray@acme.com,Matthew King,matthew.king@acme.com
Charlie Ross,charlie.ross.jr@acme.com,Spencer Allen,spencer.allen@acme.com
Hamish Murray,hamish.murray.sr@acme.com,Matthew King,matthew.king.jr@acme.com
Hamish Murray,hamish.murray.jr@acme.com,Hamish Murray,hamish.murray.sr@acme.com
Isabella Scott,isabella.scott@acme.com,Charlie Ross,charlie.ross.jr@acme.com
Matthew King,matthew.king@acme.com,Hamish Murray,hamish.murray.jr@acme.com
Piper Stewart,piper.stewart@acme.com,Employee_Name,employee_emailid
Charlie Wright,charlie.wright@acme.com,Piper Stewart,piper.stewart@acme.com
